page	colour	x0	x1	y	w	h
75	orange	2074	2742	1361	668	63
75	orange	474	1064	1451	590	63
75	orange	1144	1416	2487	272	61
75	orange	594	2231	2582	1637	66
75	orange	593	2266	2678	1673	67
75	orange	1678	2124	2974	446	61
75	orange	591	1218	3260	627	62
75	orange	713	966	3442	253	62
76	orange	1041	2908	553	1867	63
76	orange	1048	1322	652	274	61
76	orange	538	1702	1845	1164	63
76	orange	1740	2358	2942	618	62
76	orange	1348	2172	3942	824	62
77	orange	993	2576	941	1583	63
77	orange	1885	2934	1688	1049	62
78	orange	1495	2226	1328	731	61
78	orange	2210	2860	1715	650	61
78	orange	553	2085	1812	1532	62
78	orange	1313	2380	1909	1067	61
78	orange	1304	2898	2714	1594	63
79	orange	836	2706	2746	1870	66
79	orange	836	2199	2844	1363	65
