page	colour	x0	x1	y0	y1	rot_cx	rot_cy	rot_w	rot_h	rot_ang	fill
75	orange	2074	2742	1361	1424	2407.5	1391.6	667.2	61.2	0.22	0.731
75	orange	474	1064	1451	1514	768.6	1482.2	589.1	60.3	0.26	0.744
75	black	1630	2487	1650	1713	2058.0	1681.0	856.2	60.5	0.2	0.698
75	black	472	2306	1742	1809	1388.6	1775.2	1833.1	60.4	0.22	0.713
75	orange	1144	1416	2487	2548	1279.5	2517.0	271.0	60.0	0.0	0.753
75	orange	594	2231	2582	2648	1412.0	2614.4	1636.1	61.2	0.2	0.777
75	orange	593	2266	2678	2745	1429.1	2710.9	1672.1	61.2	0.2	0.768
75	orange	1678	2124	2974	3035	1900.5	3004.0	445.0	60.0	0.0	0.71
75	black	591	1518	3162	3226	1054.0	3193.9	926.2	60.7	0.23	0.71
75	orange	591	1218	3260	3322	904.0	3290.1	626.2	60.8	0.23	0.709
75	orange	713	966	3442	3504	839.0	3472.5	252.0	61.0	0.0	0.727
76	orange	1041	2908	553	616	1974.0	584.2	1866.1	60.7	-0.1	0.733
76	orange	1048	1322	652	713	1184.5	682.0	273.0	60.0	0.0	0.723
76	black	900	2909	1166	1229	1904.0	1197.1	2008.0	60.4	-0.08	0.701
76	black	730	1057	1264	1327	893.0	1294.9	326.3	61.6	-0.25	0.777
76	orange	538	1702	1845	1908	1119.5	1876.3	1163.1	61.3	-0.08	0.725
76	black	1347	2435	2038	2099	1890.5	2068.0	1087.0	60.0	0.0	0.699
76	orange	1740	2358	2942	3004	2048.5	2972.5	617.0	61.0	0.0	0.746
76	black	539	883	3234	3295	710.5	3264.0	343.0	60.0	0.0	0.736
76	black	1022	1555	3426	3488	1288.0	3456.5	532.0	61.0	0.0	0.719
76	orange	1348	2172	3942	4004	1759.5	3972.5	823.0	61.0	0.0	0.7
77	orange	993	2576	941	1004	1784.0	971.7	1582.0	60.8	0.07	0.688
77	white	482	2422	1038	1100	1451.5	1068.6	1939.0	59.4	0.08	0.691
77	white	481	2393	1134	1196	1436.5	1164.7	1911.0	59.1	0.09	0.739
77	white	1677	2036	1594	1654	1856.0	1623.5	358.0	59.0	0.0	0.675
77	orange	1885	2934	1688	1750	2409.0	1718.8	1048.0	60.8	0.07	0.705
77	white	2517	2933	1878	1938	2724.5	1907.5	415.0	59.0	0.0	0.677
77	white	1362	1906	1972	2032	1633.5	2001.5	543.0	59.0	0.0	0.697
77	white	1613	2556	3747	3807	2084.0	3776.5	942.0	59.0	0.0	0.685
78	orange	1495	2226	1328	1389	1860.0	1358.0	730.0	60.0	0.0	0.741
78	black	1965	2834	1424	1485	2399.0	1454.2	868.1	60.0	-0.11	0.691
78	black	1717	2487	1521	1582	2101.5	1551.0	769.0	60.0	0.0	0.713
78	black	1000	1570	1522	1583	1284.5	1552.0	569.0	60.0	0.0	0.713
78	orange	2210	2860	1715	1776	2534.5	1745.0	649.0	60.0	0.0	0.774
78	orange	553	2085	1812	1874	1318.5	1842.9	1531.1	60.9	-0.06	0.759
78	orange	1313	2380	1909	1970	1846.0	1939.0	1066.0	60.0	0.0	0.761
78	orange	1304	2898	2714	2777	2100.5	2745.2	1593.1	60.8	-0.09	0.673
79	black	1952	2550	607	698	2250.6	652.1	596.5	62.3	2.87	0.793
79	black	834	1112	646	721	972.8	682.6	276.9	62.3	2.94	0.783
79	orange	1686	2540	784	886	2112.4	834.6	853.2	61.5	2.88	0.724
79	orange	812	1054	929	1002	932.5	965.4	240.0	61.5	2.98	0.738
79	orange	1449	2519	1154	1264	1984.2	1207.2	1069.8	61.6	2.89	0.741
79	orange	778	1292	1212	1298	1034.7	1254.6	512.8	62.0	2.91	0.734
79	orange	836	2706	2746	2812	1770.5	2778.6	1869.1	61.8	-0.15	0.751
79	orange	836	2199	2844	2909	1517.0	2876.4	1362.2	61.5	-0.18	0.752
