page	line	glyphs	bold_mask
75	1	8	..BB....
75	2	15	.....B.......B.
75	3	58	.B.................B..B......................BB.B.........
75	4	44	....B........BB.............B..............B
75	5	46	.............B....B...B.....B...........BB....
75	6	61	............B.............................BB.B.BBBBBB..BB.BB.
75	7	35	.......B.....B...B............BBBBB
75	8	34	.B.............B................B.
75	9	53	.................B..................................B
75	10	46	..................................B..........B
75	11	43	...................B.......................
75	12	45	..B..B..B....B.....B.........................
75	13	41	.B...............B........B.............B
75	14	40	.BB.B.B..B..B.B.......BBBB.......B.....B
75	15	45	.B..............B................B..........B
75	16	46	BBBBB..BBBBB................BB......B........B
75	17	38	..BB.B..B..B..........B...B.....BB.BBB
75	18	26	...............B.........B
75	19	52	.......B..BB.....B....................B............B
75	20	49	.................................................
75	21	27	........B.BB...............
75	22	50	......B.B....................B...................B
75	23	54	...B.B...BB.......B..B......B.....B.BB.....BB.........
75	24	15	....B..........
75	25	52	.B....B.............................................
75	26	59	.......BB.......B...............B.B.....B..............B..B
75	27	46	.BB...........................................
75	28	28	................B....B.....B
75	29	13	........B.B.B
75	30	8	BBBBBBBB
75	31	10	BBBB.B.B..
75	32	21	B.........B...BB.....
75	33	8	.......B
75	34	13	B..B........B
75	35	11	B..........
76	1	17	.B...............
76	2	38	..B.........B.B......B...............B
76	3	41	........B........B............B..........
76	4	40	..BB......B................B........B..B
76	5	14	...........B..
76	6	39	..B.....B..........B..............B....
76	7	35	.B..B.............B..B.............
76	8	43	..........BB..B...B......B.B...............
76	9	40	................B....B..................
76	10	53	.B...B.........B...B.....B.............B...........B.
76	11	46	...............B..............BB.BBB.B..B...BB
76	12	34	.................B..B.............
76	13	15	...........B.B.
76	14	48	...B.................B......................BB..
76	15	49	.................B..B...B..........B.............
76	16	18	.......B.........B
76	17	43	.........................B........B.B......
76	18	27	B.........B................
76	19	54	........................B.............................
76	20	56	.....B.............B.....B......B..B.......B.....B..B...
76	21	40	....B................B.................B
76	22	41	B..............B............B...........B
76	23	54	....B...B...............B.B..........B....B.....B....B
76	24	51	..............................BBB.B................
76	25	49	..................B..............B.....B.........
76	26	49	B...B.........B...........B.B.B........BB.......B
76	27	38	..B............B....B...B..B.BBBB....B
76	28	40	..............BB.BBB.B.........B.......B
76	29	14	..............
76	30	19	...........B.....B.
76	31	25	BBBBBBBBBBBB.B..B..BB...B
77	1	8	..B.B...
77	2	48	.B.........B.......BB.B.......B..BB.........B...
77	3	44	.........B.........BB...................B..B
77	4	14	..............
77	5	51	.....B...B..B............................B.........
77	6	59	..........B...........................BBB.........B........
77	7	24	.BB....................B
77	8	52	BB..............................B.......B..........B
77	9	50	....................B.....B.......................
77	10	15	..............B
77	11	55	.................B................B.........B..........
77	12	43	..........B......B....B....B......BB..B...B
77	13	37	............BB.........B.........B...
77	14	38	..B..BB...BB...B....B.B...............
77	15	51	...............B......................B............
77	16	47	...B..........................................B
77	17	45	.............................................
77	18	48	.....B.B..B................................B.BB.
77	19	20	....................
77	20	35	............B......................
77	21	18	...............BBB
77	22	47	B..B...........................................
77	23	48	B.BB...........................................B
77	24	34	..................................
77	25	35	..................B...B...B...B...B
77	26	35	...B......................B........
77	27	34	.................................B
77	28	35	.........................B........B
77	29	16	................
77	30	36	.B......................B..B........
77	31	27	..........................B
77	32	21	...............B.....
77	33	11	BB.........
78	1	39	.......B.....BBB...B.B..BB............B
78	2	30	.BBB.BBB......B....B........B.
78	3	38	...B..B......B....B...BB.....BB.......
78	4	36	.........B.B....B...B..B..BB........
78	5	42	...B.B...B..B....BBB....B.........B...B..B
78	6	29	........................BBBBB
78	7	42	.....................................BBBBB
78	8	10	......B..B
78	9	14	...........BBB
78	10	59	...................................................B.......
78	11	53	........................B....B....B.B.B.BBB....B.....
78	12	44	.....................B.B..................BB
78	13	55	..B.BB....BBB.......B.BB.........BB......B..B........BB
78	14	43	......................B..........B......B.B
78	15	51	.BB..B..BB.B...B....BB.......B...B..B...B...B...BBB
78	16	63	.............B...B.....BBB..BB...........B..B........B.......BB
78	17	50	..B........B......BBBBBBBB.B.B..B................B
78	18	43	..B.......................................B
78	19	47	.......................B.....B......B.....B.B.B
78	20	40	........................................
78	21	35	..B.B.......B...B..........B.......
78	22	34	..BB.....B.......B....B......BB..B
78	23	12	B.B.B..B..BB
78	24	28	.......B.B....B.B.BB.......B
78	25	9	BBB......
79	1	50	..................................................
79	2	50	.........B..BB...B....B............B...B..........
79	3	43	...B.............B....B....B...............
79	4	45	...B....B...BB...B.........B.BB.B....B..B.B.B
79	5	43	.......B..BB......B..B...................BB
79	6	43	.B..................................B....B.
79	7	12	BB....B.B.B.
79	8	40	....B....B......B.BB.....B.......B.B...B
79	9	45	..BB.....B..B.B......B..BB......B........B..B
79	10	26	......B..............B...B
79	11	44	........................B..................B
79	12	49	..................B....B.....B..................B
79	13	50	BBBBB..B...B...B..B.........B.B..B.B......B.BB.B..
79	14	36	.........................BB.......B.
79	15	22	.....................B
79	16	38	...B.......B...................B......
79	17	33	BB............B...........B.B.BBB
79	18	47	BB.B.......................B......BB....B.BBB..
79	19	40	............B.BB..........B.B......B...B
79	20	43	BBB.BBB..........BBB...B..B................
79	21	42	.B.B.BB....B....B.B..........B............
79	22	19	B..................
79	23	37	......B....B....B........B..B......BB
79	24	19	BB..B.B...BB......B
79	25	15	.B.B.BBB....B..
79	26	22	B..............BB..B.B
79	27	10	BB..BB.BBB
