# Highlighted / knocked-out runs in the Overdose article, IN PAGE AND READING
# ORDER. Recorded by reading the scans directly.
#
# The existing corpus contains these phrases INDIVIDUALLY (task #11 catalogued
# them). What has not been tried is their ORDERED CONCATENATION, or acrostics
# taken across the sequence -- the classic null-cipher reading, and the one
# that matches "encoded in this piece" better than any single phrase does.
#
# colour: orange = orange highlight bar
#         black  = black bar with knocked-out (white) text
#         white  = white/light bar on the dark page 77 ground
#
# page	colour	text
75	orange	They are the sum of all our neuroses.
75	black	money printers, banking terrorists, stock traders, central bank arsonists,
75	orange	Layer 1
75	orange	Fact:
75	orange	It's Layer 1 for every great thing
75	orange	that's ever been invented or discovered.
75	orange	Maximalist
75	black	Don't fall for shitcoinery.
75	orange	Keep your dignity.
75	orange	Layer 1
76	orange	Get some toxicity. Get some bitcoin. Open your heart to Bitcoin.
76	black	Gotta be this way. Forty years of dumb post-1971 fiat money nonsense
76	orange	by the rancid catnip of fiat money.
76	black	It's a stun gun to the genitals.
76	orange	buying the dip.
76	black	$1 billion
76	black	Volcano Bonds
76	orange	shitcoiner at heart.
77	orange	Toxic Bitcoin Maximalists within six months.
77	white	(Sorry Bhutan, you fell for that snake oil salesmen over at XRP.
77	white	Get ready to experience shitcoin hell.
77	white	Faketoshi
77	orange	harass old women and children
77	white	shitcoiners,
77	white	useless Royals,
77	white	It does this by monetizing,
78	orange	The numbers don't lie.
78	black	gargantuanly wasteful
78	black	money printing
78	black	wars to keep it going
78	orange	America left $85 BILLION worth of hate toys in Afghanistan,
78	orange	$2 trillion fiat cuck-bucks.
78	orange	the game-theorized Bitcoin protocol,
79	black	war and violence economy
79	orange	infinitely more efficient to transact and store wealth in than fiat, shitcoins or gold
79	orange	That's right, Bitcoin will take all the energy.
79	orange	Everyone will live their own experience in the rabbit hole.
79	orange	We are getting our souls back and our minds.
