scope	mode	seq	dir	len	bip39_words	bip39_windows	bip39_valid	el_win12_13	el_valid12_13	el_win_all	el_valid_all	old_windows	wif_bip38_valid
CTRL-i	w10	emph	fwd	89	33	230	8	304	0	1833	7	0	0
CTRL-i	w10	emph	rev	89	33	230	6	304	0	1833	4	0	0
CTRL-i	w10	bold_nobar	fwd	46	22	86	6	138	0	754	2	0	0
CTRL-i	w10	bold_nobar	rev	46	22	86	2	138	2	754	8	0	0
CTRL-i	w10	nonemph	fwd	208	43	435	10	784	0	4953	22	0	0
CTRL-i	w10	nonemph	rev	208	43	435	8	784	0	4953	18	0	0
CTRL-i	w10	runfirst	fwd	16	8	1	0	18	0	30	0	0	0
CTRL-i	w10	runfirst	rev	16	8	1	0	18	0	30	0	0	0
CTRL-i	w10	runlast	fwd	16	6	0	0	14	0	21	0	0	0
CTRL-i	w10	runlast	rev	16	6	0	0	14	0	21	0	0	0
CTRL-i	w10	before	fwd	16	6	0	0	9	0	15	0	0	0
CTRL-i	w10	before	rev	16	6	0	0	9	0	15	0	0	0
CTRL-i	w10	after	fwd	16	2	0	0	18	0	30	0	0	0
CTRL-i	w10	after	rev	16	2	0	0	18	0	30	0	0	0
CTRL-i	w10	runfirst_L	fwd	24	10	7	1	50	0	182	0	0	0
CTRL-i	w10	runfirst_L	rev	24	10	7	0	50	0	182	1	0	0
CTRL-i	w10	runlast_L	fwd	24	9	3	1	46	1	157	1	0	0
CTRL-i	w10	runlast_L	rev	24	9	3	0	46	0	157	0	0	0
CTRL-i	w10	boldrun_first	fwd	10	5	0	0	0	0	0	0	0	0
CTRL-i	w10	boldrun_first	rev	10	5	0	0	0	0	0	0	0	0
CTRL-i	w10	boldrun_last	fwd	10	5	0	0	0	0	0	0	0	0
CTRL-i	w10	boldrun_last	rev	10	5	0	0	0	0	0	0	0	0
CTRL-i	w10	sent_emph_first	fwd	15	8	0	0	14	0	20	0	0	0
CTRL-i	w10	sent_emph_first	rev	15	8	0	0	14	0	20	0	0	0
CTRL-i	w10	sent_emph_last	fwd	15	4	0	0	12	0	16	0	0	0
CTRL-i	w10	sent_emph_last	rev	15	4	0	0	12	0	16	0	0	0
CTRL-i	w10	esent_first	fwd	15	5	0	0	14	0	20	0	0	0
CTRL-i	w10	esent_first	rev	15	5	0	0	14	0	20	0	0	0
CTRL-i	w10	esent_last	fwd	15	4	0	0	12	0	16	1	0	0
CTRL-i	w10	esent_last	rev	15	4	0	0	12	0	16	0	0	0
CTRL-i	w10	bar_all	fwd	43	11	12	0	120	0	637	8	0	0
CTRL-i	w10	bar_all	rev	43	11	12	2	120	0	637	2	0	0
CTRL-i	w10	orange	fwd	30	9	2	0	68	0	299	1	0	0
CTRL-i	w10	orange	rev	30	9	2	1	68	0	299	0	0	0
CTRL-i	w10	black	fwd	13	2	0	0	6	0	6	0	0	0
CTRL-i	w10	black	rev	13	2	0	0	6	0	6	0	0	0
CTRL-i	w10	white	fwd	0	0	0	0	0	0	0	0	0	0
CTRL-i	w10	white	rev	0	0	0	0	0	0	0	0	0	0
CTRL-i	w10	under_strike	fwd	6	3	0	0	0	0	0	0	0	0
CTRL-i	w10	under_strike	rev	6	3	0	0	0	0	0	0	0	0
CTRL-i	w10	sent_first	fwd	27	7	0	0	62	0	260	0	0	0
CTRL-i	w10	sent_first	rev	27	7	0	0	62	0	260	2	0	0
CTRL-i	w10	sent_last	fwd	27	11	7	1	60	2	247	2	0	0
CTRL-i	w10	sent_last	rev	27	11	7	0	60	0	247	0	0	0
CTRL-ii	w10	emph	fwd	73	22	91	3	244	6	1443	9	0	0
CTRL-ii	w10	emph	rev	73	22	91	4	244	5	1443	10	0	0
CTRL-ii	w10	bold_nobar	fwd	26	13	7	0	29	1	117	2	0	0
CTRL-ii	w10	bold_nobar	rev	26	13	7	0	29	0	117	0	0	0
CTRL-ii	w10	nonemph	fwd	213	33	680	12	1203	1	7605	22	0	0
CTRL-ii	w10	nonemph	rev	213	33	680	19	1203	10	7605	45	0	0
CTRL-ii	w10	runfirst	fwd	18	4	0	0	24	0	49	0	0	0
CTRL-ii	w10	runfirst	rev	18	4	0	0	24	0	49	0	0	0
CTRL-ii	w10	runlast	fwd	18	5	0	0	13	0	28	0	0	0
CTRL-ii	w10	runlast	rev	18	5	0	0	13	0	28	0	0	0
CTRL-ii	w10	before	fwd	17	1	0	0	22	0	42	0	0	0
CTRL-ii	w10	before	rev	17	1	0	0	22	0	42	0	0	0
CTRL-ii	w10	after	fwd	17	2	0	0	22	0	42	0	0	0
CTRL-ii	w10	after	rev	17	2	0	0	22	0	42	0	0	0
CTRL-ii	w10	runfirst_L	fwd	21	5	0	0	36	0	100	0	0	0
CTRL-ii	w10	runfirst_L	rev	21	5	0	0	36	0	100	1	0	0
CTRL-ii	w10	runlast_L	fwd	21	5	0	0	19	0	55	0	0	0
CTRL-ii	w10	runlast_L	rev	21	5	0	0	19	0	55	0	0	0
CTRL-ii	w10	boldrun_first	fwd	10	3	0	0	0	0	0	0	0	0
CTRL-ii	w10	boldrun_first	rev	10	3	0	0	0	0	0	0	0	0
CTRL-ii	w10	boldrun_last	fwd	10	4	0	0	0	0	0	0	0	0
CTRL-ii	w10	boldrun_last	rev	10	4	0	0	0	0	0	0	0	0
CTRL-ii	w10	sent_emph_first	fwd	15	3	0	0	14	0	20	0	0	0
CTRL-ii	w10	sent_emph_first	rev	15	3	0	0	14	0	20	0	0	0
CTRL-ii	w10	sent_emph_last	fwd	15	4	0	0	7	0	10	0	0	0
CTRL-ii	w10	sent_emph_last	rev	15	4	0	0	7	0	10	0	0	0
CTRL-ii	w10	esent_first	fwd	15	2	0	0	14	0	20	0	0	0
CTRL-ii	w10	esent_first	rev	15	2	0	0	14	0	20	0	0	0
CTRL-ii	w10	esent_last	fwd	15	2	0	0	14	0	20	0	0	0
CTRL-ii	w10	esent_last	rev	15	2	0	0	14	0	20	0	0	0
CTRL-ii	w10	bar_all	fwd	47	9	5	1	140	0	767	2	0	0
CTRL-ii	w10	bar_all	rev	47	9	5	2	140	1	767	6	0	0
CTRL-ii	w10	orange	fwd	24	3	0	0	25	0	91	1	0	0
CTRL-ii	w10	orange	rev	24	3	0	0	25	0	91	0	0	0
CTRL-ii	w10	black	fwd	23	6	0	0	44	0	144	0	0	0
CTRL-ii	w10	black	rev	23	6	0	0	44	0	144	0	0	0
CTRL-ii	w10	white	fwd	0	0	0	0	0	0	0	0	0	0
CTRL-ii	w10	white	rev	0	0	0	0	0	0	0	0	0	0
CTRL-ii	w10	under_strike	fwd	9	1	0	0	0	0	0	0	0	0
CTRL-ii	w10	under_strike	rev	9	1	0	0	0	0	0	0	0	0
CTRL-ii	w10	sent_first	fwd	21	2	0	0	38	0	110	1	0	0
CTRL-ii	w10	sent_first	rev	21	2	0	0	38	0	110	1	0	0
CTRL-ii	w10	sent_last	fwd	21	3	0	0	38	1	110	2	0	0
CTRL-ii	w10	sent_last	rev	21	3	0	0	38	0	110	0	0	0
CTRL-iii	w10	emph	fwd	124	16	47	2	446	0	2756	12	0	2
CTRL-iii	w10	emph	rev	124	16	47	1	446	2	2756	13	0	2
CTRL-iii	w10	bold_nobar	fwd	86	5	0	0	294	0	1768	7	0	2
CTRL-iii	w10	bold_nobar	rev	86	5	0	0	294	0	1768	7	0	2
CTRL-iii	w10	nonemph	fwd	191	39	750	24	1067	4	6721	29	0	0
CTRL-iii	w10	nonemph	rev	191	39	750	15	1067	7	6721	40	0	0
CTRL-iii	w10	runfirst	fwd	12	2	0	0	1	0	1	0	0	0
