page	line	cell	char	area	sw	sw90	emax	width	area_ratio	sw_ratio	bold	n_same	x	y
76	2	618	B	1913	5.31	10.00	14.14	43	2.519	1.554	1	4	1155	638
76	2	661	i	1329	5.48	10.77	15.62	32	3.977	1.795	1	71	1198	638
76	2	693	t	1234	5.78	10.77	18.44	34	3.060	1.958	1	96	1230	638
76	2	727	c	1422	6.11	11.66	17.20	38	3.686	2.062	1	26	1264	638
76	2	765	o	1414	5.75	10.00	14.14	38	3.081	1.788	1	68	1302	638
76	2	803	i	1253	5.49	10.77	15.23	35	3.749	1.795	1	71	1340	638
76	2	838	n	1446	6.03	11.31	16.00	43	3.059	1.866	1	93	1375	638
76	2	881	.	618	5.74	12.81	20.00	25	3.943	1.278	1	10	1418	638
76	2	930	I	381	3.49	6.00	8.49	27	0.962	1.068	0	11	1467	638
76	2	957	t	388	3.53	5.66	8.49	32	0.962	1.028	0	96	1494	638
76	2	989	'	186	4.50	8.00	10.77	18	1.046	0.998	0	13	1526	638
76	2	1007	s	534	3.86	6.00	8.94	34	1.049	0.999	0	54	1544	638
76	2	1065	t	380	3.46	5.66	10.00	31	0.942	1.028	0	96	1602	638
76	2	1096	h	485	3.24	5.66	8.25	41	0.928	1.252	1	46	1633	638
76	2	1137	e	476	3.61	5.66	10.00	33	0.935	0.960	0	112	1674	638
76	2	1195	f	460	3.63	6.00	8.49	33	0.971	1.000	0	16	1732	638
76	2	1228	r	404	3.77	6.00	8.49	33	0.997	1.000	0	48	1765	638
76	2	1261	e	480	3.65	6.00	8.94	36	0.943	1.019	0	112	1798	638
76	2	1297	a	495	3.37	5.66	8.00	38	0.992	1.255	1	71	1834	638
76	2	1335	k	622	3.83	6.00	8.49	41	1.017	1.000	0	8	1872	638
76	2	1376	i	317	3.33	5.66	7.21	32	0.949	0.943	0	71	1913	638
76	2	1408	n	436	3.58	6.00	10.00	38	0.922	0.990	0	93	1945	638
76	2	1446	g	597	3.09	4.47	6.32	40	1.143	1.000	0	23	1983	638
76	2	1512	U	896	4.75	8.00	11.66	43	1.000	1.000	0	1	2049	638
76	2	1555	T	868	4.98	8.00	12.00	45	1.590	1.333	1	3	2092	638
76	2	1600	X	958	5.23	8.94	14.00	47	1.000	1.000	0	1	2137	638
76	2	1647	O	879	4.80	8.00	10.20	42	1.243	1.172	0	2	2184	638
76	2	1716	g	993	5.18	8.94	15.23	38	1.901	2.000	1	23	2253	638
76	2	1754	h	851	4.80	8.00	12.00	44	1.628	1.771	1	46	2291	638
76	2	1798	e	796	6.16	10.77	18.00	37	1.563	1.829	1	112	2335	638
76	2	1835	t	625	4.99	8.00	12.81	35	1.550	1.454	1	96	2372	638
76	2	1870	t	626	4.98	8.00	12.81	36	1.552	1.454	1	96	2407	638
76	2	1906	o	619	4.60	7.21	8.94	38	1.349	1.289	1	68	2443	638
76	2	1970	u	753	5.07	8.25	12.17	41	1.496	1.374	1	34	2507	638
76	2	2011	p	901	4.99	8.25	12.17	41	1.540	1.433	1	14	2548	638
76	2	2079	i	582	4.87	8.00	11.31	31	1.741	1.333	1	71	2616	638
76	2	2110	n	770	5.16	8.49	12.81	41	1.629	1.400	1	93	2647	638
76	2	2177	h	874	4.85	8.00	12.00	45	1.672	1.771	1	46	2714	638
76	2	2222	e	791	6.06	10.77	18.00	38	1.554	1.829	1	112	2759	638
76	2	2260	r	655	5.36	8.94	12.17	39	1.617	1.491	1	48	2797	638
76	2	2299	e	794	6.01	10.60	17.89	37	1.560	1.800	1	112	2836	638
